code,date,buy_at,max,max_idx,idx,is_selled,sell_at,sell_date,r,open,close,f1_open,f1_close,f2_open,f2_close,f3_open,f3_close,r2,is_cut,r3,is_cut2
300463.SZ,2016-5-31,77.5,93.08,250,247,TRUE,81.243004,2016-6-13,4.83%,73.97,77.43,77.5,78.86,80.5,86.75,89.32,90.9,15.25%,0,3.87%,0
002281.SZ,2016-3-7,54.1265,61.798798,1436,1431,TRUE,56.754,2016-3-17,4.85%,50.311367,54.43129,54.1265,56.754,55.65045,55.45076,55.492798,55.482292,2.52%,0,2.82%,0
300364.SZ,2016-3-17,96.98,107.9,270,268,TRUE,101.9,2016-3-23,5.07%,89.26,94.5,96.98,103.92,107.49,104.6,103.65,101.65,6.88%,0,10.84%,0
300302.SZ,2016-1-14,204.51419,230.3235,925,921,TRUE,215.2953,2016-1-25,5.27%,182.952,206.4744,204.51419,210.3948,210.7215,217.77823,213.6618,220.26114,4.47%,0,3.04%,0
300659.SZ,2020-4-2,127.908,144.058,589,587,TRUE,134.8848,2020-4-13,5.45%,120.915054,128.65091,127.908,132.43001,135.66,141.6355,140.48885,142.3461,9.84%,0,6.06%,0
002095.SZ,2016-1-14,289.344,330.99197,1465,1461,TRUE,305.30176,2016-1-22,5.52%,260.848,296.1392,289.344,280.7952,279.9184,308.89664,321.3472,317.18237,11.06%,0,-3.26%,0
000568.SZ,2018-3-29,1768.2113,1973.3251,1970,1963,TRUE,1867.8112,2018-4-18,5.63%,1676.0812,1764.4762,1768.2113,1766.3438,1760.1188,1804.3163,1785.0187,1855.9838,0.95%,0,-0.46%,0
600809.SH,2017-12-11,230.07254,253.5607,1928,1923,TRUE,243.08334,2017-12-27,5.66%,218.47873,229.8149,230.07254,229.729,228.91315,237.02881,238.317,239.08994,3.58%,0,-0.50%,0
000568.SZ,2018-9-18,1345.9677,1528.3964,2086,2081,TRUE,1423.1979,2018-10-9,5.74%,1276.6829,1347.8746,1345.9677,1409.5316,1410.4852,1425.7405,1433.3682,1503.6064,6.49%,0,4.79%,0
603501.SH,2020-4-14,162.27652,184.14363,550,547,TRUE,171.66391,2020-4-22,5.78%,151.60399,157.9292,162.27652,166.35275,164.34476,171.15187,173.84259,176.50319,7.13%,0,1.27%,0
000963.SZ,2018-8-21,433.31058,490.14493,2057,2052,TRUE,459.99,2018-9-3,6.16%,407.96002,432.7995,433.31058,441.79486,442.40814,449.25693,450.38135,463.77213,3.94%,0,2.10%,0
002594.SZ,2018-2-12,60.719997,68.31,1617,1601,TRUE,64.4644,2018-3-20,6.17%,57.7852,60.335438,60.719997,60.213997,61.914158,61.225998,62.72376,63.067837,3.30%,0,1.97%,0
601888.SH,2019-2-11,124.61679,142.38223,2155,2144,TRUE,132.594,2019-3-7,6.40%,117.588234,125.26359,124.61679,125.43607,125.43607,129.36,129.74808,133.30548,4.12%,0,0.66%,0
300223.SZ,2020-4-30,243.15778,279.3638,1932,1923,TRUE,260.0082,2020-5-19,6.93%,230.60565,245.71567,243.15778,262.1178,264.72842,252.96742,255.52531,255.10338,5.09%,0,8.87%,0
002594.SZ,2018-8-10,41.593197,47.5223,1733,1720,TRUE,44.548347,2018-9-4,7.10%,39.8728,42.190277,41.593197,43.688038,43.688038,43.6678,43.516,42.63556,4.62%,0,5.04%,0
